Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2015	protein targeting (GO:0006605)	5/273	0.00013926795844638808	0.0015105217031492	0	0	11.482625932835822	101.95550703659646	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	protein localization to membrane (GO:0072657)	5/276	0.00014656099683860255	0.0015307481892031	0	0	11.353782287822876	100.23197180712214	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	establishment of protein localization to organelle (GO:0072594)	5/292	0.00019053714984223704	0.0019189812948396	0	0	10.712108013937282	91.75631123169512	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	generation of precursor metabolites and energy (GO:0006091)	5/375	0.0006003558820772291	0.0058239535864352	0	0	8.274070945945946	61.37695850653248	LDHA;PKM;PGK1;CYCS;GAPDH
GO_Biological_Process_2015	apoptotic DNA fragmentation (GO:0006309)	2/20	0.0006195695304718364	0.0058239535864352	0	0	63.31746031746032	467.69351055771176	CYCS;HMGB1
GO_Biological_Process_2015	protein localization to organelle (GO:0033365)	5/396	0.0007676600993334166	0.006983230581033	0	0	7.821291560102302	56.09558186411861	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	monocarboxylic acid metabolic process (GO:0032787)	5/473	0.0016910120380137	0.0149020435849958	0	0	6.508747329059829	41.541611785125085	LDHA;PKM;PGK1;GAPDH;SLC16A3
GO_Biological_Process_2015	single-organism cellular localization (GO:1902580)	5/496	0.002081337975344	0.0177859790620309	0	0	6.196537678207739	38.26203592322688	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	glucose metabolic process (GO:0006006)	3/149	0.0026152997860177	0.0216916041075588	0	0	11.976430298146656	71.21636424301435	PKM;PGK1;GAPDH
GO_Biological_Process_2015	gluconeogenesis (GO:0006094)	2/46	0.0032744819297089	0.0263829686907975	0	0	25.868831168831168	148.01099089823927	PGK1;GAPDH
GO_Biological_Process_2015	hexose biosynthetic process (GO:0019319)	2/50	0.0038576315924392	0.0302181141407739	0	0	23.70833333333333	131.76384828572083	PGK1;GAPDH
GO_Biological_Process_2015	monosaccharide biosynthetic process (GO:0046364)	2/56	0.0048159350655821	0.0367052348241667	0	0	21.067724867724863	112.4136941826544	PGK1;GAPDH
GO_Biological_Process_2015	hexose metabolic process (GO:0019318)	3/187	0.0049475830697415	0.0367162743596611	0	0	9.484814578005116	50.35351563859225	PKM;PGK1;GAPDH
GO_Biological_Process_2015	DNA catabolic process, endonucleolytic (GO:0000737)	2/65	0.006437093194111	0.0465451354035721	0	0	18.049886621315192	91.07391958451102	CYCS;HMGB1
GO_Biological_Process_2015	gene expression (GO:0010467)	5/672	0.0075524638311799	0.0532448700098187	0	0	4.52023988005997	22.08535610586141	RPS27;RPL10;RPS2;RPL29;RPL9
GO_Biological_Process_2015	monosaccharide metabolic process (GO:0005996)	3/221	0.0078427882758038	0.053943080336017	0	0	7.991770102536427	38.74538701661908	PKM;PGK1;GAPDH
GO_Biological_Process_2015	microtubule cytoskeleton organization (GO:0000226)	3/245	0.0103806750059518	0.0696988178971051	0	0	7.190447253281478	32.844592365954654	RANBP1;TUBA1B;GAPDH
GO_Biological_Process_2015	negative regulation of protein complex assembly (GO:0031333)	2/91	0.0122972836819531	0.0806473022862975	0	0	12.760192616372391	56.12413618638522	HMGB1;PFN1
GO_Biological_Process_2015	short-term memory (GO:0007614)	1/8	0.014706952762456	0.0921635706447246	0	0	79.19047619047619	334.1390605677817	MDK
GO_Biological_Process_2015	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635)	1/8	0.014706952762456	0.0921635706447246	0	0	79.19047619047619	334.1390605677817	CYCS
GO_Biological_Process_2015	DNA catabolic process (GO:0006308)	2/102	0.0152731378962339	0.0936309757986513	0	0	11.350285714285716	47.4630322036801	CYCS;HMGB1
GO_Biological_Process_2015	negative regulation of phagocytosis (GO:0050765)	1/9	0.0165304655004847	0.0971164848153479	0	0	69.28819444444444	284.25829643277825	HMGB1
GO_Biological_Process_2015	DNA topological change (GO:0006265)	1/9	0.0165304655004847	0.0971164848153479	0	0	69.28819444444444	284.25829643277825	HMGB1
GO_Biological_Process_2015	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	2/111	0.0179148168981204	0.0976395468916883	0	0	10.408387942332896	41.86385971880738	CYCS;HMGB1
GO_Biological_Process_2015	negative regulation of stress fiber assembly (GO:0051497)	1/10	0.0183506949831896	0.0976395468916883	0	0	61.58641975308642	246.2279153977221	PFN1
GO_Biological_Process_2015	notochord development (GO:0030903)	1/10	0.0183506949831896	0.0976395468916883	0	0	61.58641975308642	246.2279153977221	ID3
GO_Biological_Process_2015	regulation of apoptotic cell clearance (GO:2000425)	1/10	0.0183506949831896	0.0976395468916883	0	0	61.58641975308642	246.2279153977221	HMGB1
GO_Biological_Process_2015	DNA ligation (GO:0006266)	1/10	0.0183506949831896	0.0976395468916883	0	0	61.58641975308642	246.2279153977221	HMGB1
GO_Biological_Process_2015	positive regulation of cysteine-type endopeptidase activity (GO:2001056)	2/119	0.0204136519017743	0.106317805015359	0	0	9.692796092796092	37.72001411839887	CYCS;HMGB1
GO_Biological_Process_2015	positive regulation of cell division (GO:0051781)	2/120	0.0207357421129246	0.106317805015359	0	0	9.610169491525424	37.24802129305297	RANBP1;MDK
GO_Biological_Process_2015	positive regulation of endopeptidase activity (GO:0010950)	2/128	0.0233886027412849	0.1170429206326846	0	0	8.996371882086168	33.78593251830929	CYCS;HMGB1
GO_Biological_Process_2015	negative regulation of actin filament bundle assembly (GO:0032232)	1/13	0.0237917406507484	0.1170429206326846	0	0	46.18287037037037	172.65081800368927	PFN1
GO_Biological_Process_2015	carbohydrate biosynthetic process (GO:0016051)	2/130	0.0240726574350911	0.1170429206326846	0	0	8.854910714285714	32.99940651914517	PGK1;GAPDH
GO_Biological_Process_2015	negative regulation of myoblast differentiation (GO:0045662)	1/14	0.025598893875467	0.1223540351335884	0	0	42.62820512820513	156.2411590204543	ID3
GO_Biological_Process_2015	positive regulation of peptidase activity (GO:0010952)	2/139	0.0272514425807552	0.1229159772419051	0	0	8.269447340980188	29.791914709423647	CYCS;HMGB1
GO_Biological_Process_2015	regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	1/15	0.0274027922368154	0.1229159772419051	0	0	39.58134920634921	142.37848146420913	HMGB1
GO_Biological_Process_2015	regulation of ruffle assembly (GO:1900027)	1/15	0.0274027922368154	0.1229159772419051	0	0	39.58134920634921	142.37848146420913	PFN1
GO_Biological_Process_2015	positive regulation of cytoskeleton organization (GO:0051495)	2/142	0.0283469064218596	0.1229159772419051	0	0	8.091020408163265	28.830226325793856	RANBP1;PFN1
GO_Biological_Process_2015	peptidyl-cysteine modification (GO:0018198)	1/16	0.0292034414014455	0.1229159772419051	0	0	36.94074074074074	130.52895191723596	GAPDH
GO_Biological_Process_2015	V(D)J recombination (GO:0033151)	1/16	0.0292034414014455	0.1229159772419051	0	0	36.94074074074074	130.52895191723596	HMGB1
GO_Biological_Process_2015	dendritic cell chemotaxis (GO:0002407)	1/16	0.0292034414014455	0.1229159772419051	0	0	36.94074074074074	130.52895191723596	HMGB1
GO_Biological_Process_2015	dentate gyrus development (GO:0021542)	1/16	0.0292034414014455	0.1229159772419051	0	0	36.94074074074074	130.52895191723596	MDK
GO_Biological_Process_2015	regulation of DNA-templated transcription, initiation (GO:2000142)	1/17	0.0310008470344359	0.1285623362310431	0	0	34.630208333333336	120.29636590931148	HMGB1
GO_Biological_Process_2015	myeloid dendritic cell activation (GO:0001773)	1/20	0.0363736593292806	0.1465338847265304	0	0	29.157894736842103	96.62665093408292	HMGB1
GO_Biological_Process_2015	inflammatory response to antigenic stimulus (GO:0002437)	1/20	0.0363736593292806	0.1465338847265304	0	0	29.157894736842103	96.62665093408292	HMGB1
GO_Biological_Process_2015	response to wounding (GO:0009611)	2/167	0.0381386354683105	0.1494527438992646	0	0	6.856450216450217	22.39678288526072	MDK;ID3
GO_Biological_Process_2015	dendritic cell migration (GO:0036336)	1/21	0.0381581473785356	0.1494527438992646	0	0	27.698611111111116	90.46410657809346	HMGB1
GO_Biological_Process_2015	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	1/22	0.0399394201291641	0.1542865270743054	0	0	26.37830687830688	84.948474454672	CLDN6
GO_Biological_Process_2015	behavioral defense response (GO:0002209)	1/24	0.0434923421950774	0.1592836428443096	0	0	24.082125603864736	75.50156731119475	MDK
GO_Biological_Process_2015	regulation of centrosome cycle (GO:0046605)	1/24	0.0434923421950774	0.1592836428443096	0	0	24.082125603864736	75.50156731119475	RANBP1
GO_Biological_Process_2015	behavioral fear response (GO:0001662)	1/24	0.0434923421950774	0.1592836428443096	0	0	24.082125603864736	75.50156731119475	MDK
GO_Biological_Process_2015	adrenal gland development (GO:0030325)	1/24	0.0434923421950774	0.1592836428443096	0	0	24.082125603864736	75.50156731119475	MDK
GO_Biological_Process_2015	regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	2/186	0.0463214755652321	0.1661920659485861	0	0	6.142546583850931	18.87082197113596	CYCS;HMGB1
GO_Biological_Process_2015	microtubule-based process (GO:0007017)	3/437	0.0465573518082918	0.1661920659485861	0	0	3.9703849281648154	12.177449907723142	RANBP1;TUBA1B;GAPDH
GO_Biological_Process_2015	cellular response to interleukin-4 (GO:0071353)	1/27	0.0487977508038484	0.1698884657615466	0	0	21.30021367521368	64.32815883418561	TUBA1B
GO_Biological_Process_2015	regulation of myoblast differentiation (GO:0045661)	1/27	0.0487977508038484	0.1698884657615466	0	0	21.30021367521368	64.32815883418561	ID3
GO_Biological_Process_2015	fear response (GO:0042596)	1/28	0.0505598495049575	0.1738765556146102	0	0	20.51028806584362	61.2149546027372	MDK
GO_Biological_Process_2015	regulation of cysteine-type endopeptidase activity (GO:2000116)	2/197	0.0513290240442937	0.1743949973553113	0	0	5.792820512820513	17.201774233110324	CYCS;HMGB1
GO_Biological_Process_2015	positive regulation of ATP catabolic process (GO:1903291)	1/30	0.0540745240778647	0.17940018576421	0	0	19.09386973180077	55.70430487305193	PFN1
GO_Biological_Process_2015	positive regulation of ATPase activity (GO:0032781)	1/30	0.0540745240778647	0.17940018576421	0	0	19.09386973180077	55.70430487305193	PFN1
GO_Biological_Process_2015	positive chemotaxis (GO:0050918)	1/31	0.0558271110621512	0.1830609920875192	0	0	18.45648148148148	53.25609732919314	HMGB1
GO_Biological_Process_2015	response to interleukin-4 (GO:0070670)	1/32	0.0575765385764463	0.1866274009029639	0	0	17.86021505376344	50.9844862770809	TUBA1B
GO_Biological_Process_2015	positive regulation of DNA binding (GO:0043388)	1/33	0.0593228121513803	0.1901026480305598	0	0	17.30121527777778	48.8718043349592	HMGB1
GO_Biological_Process_2015	somatic cell DNA recombination (GO:0016444)	1/34	0.0610659373084562	0.1913399368998294	0	0	16.776094276094277	46.90262214500739	HMGB1
GO_Biological_Process_2015	somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	1/34	0.0610659373084562	0.1913399368998294	0	0	16.776094276094277	46.90262214500739	HMGB1
GO_Biological_Process_2015	metanephros development (GO:0001656)	1/35	0.0628059195635094	0.1917799203338051	0	0	16.28186274509804	45.063408386674496	ID3
GO_Biological_Process_2015	regulation of skeletal muscle fiber development (GO:0048742)	1/35	0.0628059195635094	0.1917799203338051	0	0	16.28186274509804	45.063408386674496	ID3
GO_Biological_Process_2015	negative regulation of endocytosis (GO:0045806)	1/36	0.0645427644249927	0.1917799203338051	0	0	15.815873015873017	43.34224956187957	HMGB1
GO_Biological_Process_2015	leukocyte migration (GO:0050900)	2/226	0.0654003772171988	0.1917799203338051	0	0	5.03545918367347	13.732841515515082	HMGB1;SLC16A3
GO_Biological_Process_2015	somatic diversification of immune receptors (GO:0002200)	1/37	0.0662764773937358	0.1917799203338051	0	0	15.375771604938272	41.72861769022075	HMGB1
GO_Biological_Process_2015	positive regulation of proteolysis (GO:0045862)	2/228	0.0664143831685908	0.1917799203338051	0	0	4.99039190897598	13.533152538619126	CYCS;HMGB1
GO_Biological_Process_2015	nucleic acid phosphodiester bond hydrolysis (GO:0090305)	2/230	0.0674337244162654	0.1917799203338051	0	0	4.946115288220551	13.337744065799187	CYCS;HMGB1
GO_Biological_Process_2015	neuron apoptotic process (GO:0051402)	1/38	0.0680070639481578	0.1917799203338051	0	0	14.95945945945946	40.2131766656101	GAPDH
GO_Biological_Process_2015	cellular respiration (GO:0045333)	1/38	0.0680070639481578	0.1917799203338051	0	0	14.95945945945946	40.2131766656101	CYCS
GO_Biological_Process_2015	negative regulation of osteoblast differentiation (GO:0045668)	1/38	0.0680070639481578	0.1917799203338051	0	0	14.95945945945946	40.2131766656101	ID3
GO_Biological_Process_2015	regulation of cell division (GO:0051302)	2/234	0.0694882098843582	0.1920118914201558	0	0	4.859852216748768	12.959273089634753	RANBP1;MDK
GO_Biological_Process_2015	embryo implantation (GO:0007566)	1/39	0.069734529574374	0.1920118914201558	0	0	14.565058479532164	38.78761998968224	RPL29
GO_Biological_Process_2015	negative regulation of actin filament polymerization (GO:0030837)	1/40	0.0714588797420938	0.1920118914201558	0	0	14.190883190883191	37.444534151430766	PFN1
GO_Biological_Process_2015	positive regulation of protein processing (GO:0010954)	2/240	0.0726086920336458	0.1920118914201558	0	0	4.735894357743097	12.42069108305222	CYCS;HMGB1
GO_Biological_Process_2015	positive regulation of protein maturation (GO:1903319)	2/240	0.0726086920336458	0.1920118914201558	0	0	4.735894357743097	12.42069108305222	CYCS;HMGB1
GO_Biological_Process_2015	negative regulation of muscle cell differentiation (GO:0051148)	1/41	0.073180119912113	0.1920118914201558	0	0	13.835416666666667	36.17728305000016	ID3
GO_Biological_Process_2015	regulation of protein complex assembly (GO:0043254)	2/244	0.0747142699415154	0.1920118914201558	0	0	4.656670602125147	12.079795517534842	HMGB1;PFN1
GO_Biological_Process_2015	regulation of ATPase activity (GO:0043462)	1/42	0.0748982555185005	0.1920118914201558	0	0	13.497289972899727	34.979909800646844	PFN1
GO_Biological_Process_2015	regulation of ATP catabolic process (GO:1903289)	1/42	0.0748982555185005	0.1920118914201558	0	0	13.497289972899727	34.979909800646844	PFN1
GO_Biological_Process_2015	positive regulation of mitosis (GO:0045840)	1/42	0.0748982555185005	0.1920118914201558	0	0	13.497289972899727	34.979909800646844	RANBP1
GO_Biological_Process_2015	cerebral cortex development (GO:0021987)	1/43	0.0766132920442956	0.1946391743828051	0	0	13.17526455026455	33.84705294145367	MDK
GO_Biological_Process_2015	substantia nigra development (GO:0021762)	1/45	0.0800340894644018	0.1997310905217815	0	0	12.575126262626265	31.755999257171126	LDHA
GO_Biological_Process_2015	excretion (GO:0007588)	1/45	0.0800340894644018	0.1997310905217815	0	0	12.575126262626265	31.755999257171126	MDK
GO_Biological_Process_2015	neuron death (GO:0070997)	1/47	0.0834425555494731	0.2064105321486966	0	0	12.027173913043478	29.870651141018534	GAPDH
GO_Biological_Process_2015	'de novo' posttranslational protein folding (GO:0051084)	1/49	0.0868387334939797	0.2129436769156721	0	0	11.52488425925926	28.16338868908917	TUBA1B
GO_Biological_Process_2015	negative regulation of protein polymerization (GO:0032272)	1/50	0.0885322278902676	0.2152248988366852	0	0	11.289115646258503	27.36920368672352	PFN1
GO_Biological_Process_2015	regulation of phagocytosis (GO:0050764)	1/52	0.0919100543240614	0.221526797601584	0	0	10.845315904139431	25.88717095002956	HMGB1
GO_Biological_Process_2015	cellular component disassembly involved in execution phase of apoptosis (GO:0006921)	1/53	0.093594397093596	0.22367474559656	0	0	10.636217948717947	25.194910953322605	HMGB1
GO_Biological_Process_2015	'de novo' protein folding (GO:0006458)	1/54	0.0952757000126653	0.2257793899459801	0	0	10.435010482180294	24.53250600399325	TUBA1B
GO_Biological_Process_2015	positive regulation of nuclear division (GO:0051785)	1/55	0.0969539684282954	0.2278418258064942	0	0	10.24125514403292	23.89816310810052	RANBP1
GO_Biological_Process_2015	regulation of stress fiber assembly (GO:0051492)	1/56	0.0986292076661205	0.2298631120813719	0	0	10.054545454545456	23.290226801945256	PFN1
GO_Biological_Process_2015	positive regulation of actin filament polymerization (GO:0030838)	1/57	0.1003014230145905	0.229959360082232	0	0	9.874503968253968	22.7071663783518	PFN1
GO_Biological_Process_2015	regulation of myotube differentiation (GO:0010830)	1/57	0.1003014230145905	0.229959360082232	0	0	9.874503968253968	22.7071663783518	ID3
GO_Biological_Process_2015	regulation of skeletal muscle tissue development (GO:0048641)	1/61	0.106960151720386	0.2430959226462109	0	0	9.214351851851852	20.5968308140023	ID3
GO_Biological_Process_2015	epithelial cell differentiation (GO:0030855)	2/303	0.1078663339881871	0.2430959226462109	0	0	3.732700522069293	8.312210691783365	PGK1;ID3
GO_Biological_Process_2015	regulation of actin filament bundle assembly (GO:0032231)	1/62	0.1086173271397963	0.2430959226462109	0	0	9.062841530054644	20.11882244883129	PFN1
GO_Biological_Process_2015	neural nucleus development (GO:0048857)	1/63	0.1102715103728266	0.2448548498042291	0	0	8.91621863799283	19.658565146558267	LDHA
GO_Biological_Process_2015	protein polymerization (GO:0051258)	1/64	0.1119227066995718	0.2465797131974941	0	0	8.774250440917108	19.2151413655998	TUBA1B
GO_Biological_Process_2015	negative regulation of ossification (GO:0030279)	1/65	0.1135709213309876	0.248271316397973	0	0	8.63671875	18.78769422199511	ID3
GO_Biological_Process_2015	multicellular organismal response to stress (GO:0033555)	1/66	0.1152161595492861	0.2499304384069131	0	0	8.503418803418803	18.37542261395164	MDK
GO_Biological_Process_2015	positive regulation of protein polymerization (GO:0032273)	1/69	0.1201340677322892	0.2586092145076761	0	0	8.12704248366013	17.222397118954486	PFN1
GO_Biological_Process_2015	negative regulation of translation (GO:0017148)	1/72	0.1250253755206387	0.2670996658850009	0	0	7.782472613458529	16.181617135394756	GAPDH
GO_Biological_Process_2015	spindle organization (GO:0007051)	1/74	0.1282715384991091	0.2719742395244269	0	0	7.568493150684931	15.542701942518896	RANBP1
GO_Biological_Process_2015	positive regulation of organelle organization (GO:0010638)	2/340	0.1303344590489214	0.2740110075914113	0	0	3.3178360101437026	6.760593093157531	RANBP1;PFN1
GO_Biological_Process_2015	neural tube closure (GO:0001843)	1/76	0.1315059825524281	0.2740110075914113	0	0	7.365925925925926	14.943275535371535	PFN1
GO_Biological_Process_2015	regulation of DNA binding (GO:0051101)	1/77	0.1331188228369622	0.2740110075914113	0	0	7.268640350877193	14.65730881251084	HMGB1
GO_Biological_Process_2015	tube closure (GO:0060606)	1/77	0.1331188228369622	0.2740110075914113	0	0	7.268640350877193	14.65730881251084	PFN1
GO_Biological_Process_2015	positive regulation of epithelial cell migration (GO:0010634)	1/79	0.1363357655606339	0.2771045332013311	0	0	7.081552706552706	14.110946742753484	PFN1
GO_Biological_Process_2015	regulation of cytoskeleton organization (GO:0051493)	2/350	0.1365869862233512	0.2771045332013311	0	0	3.2208538587848934	6.412055266681667	RANBP1;PFN1
GO_Biological_Process_2015	regulation of endopeptidase activity (GO:0052548)	2/354	0.1391072355566644	0.2790821838626137	0	0	3.183603896103896	6.2796910446900345	CYCS;HMGB1
GO_Biological_Process_2015	platelet degranulation (GO:0002576)	1/81	0.1395410919313068	0.2790821838626137	0	0	6.903819444444444	13.596355470642331	PFN1
GO_Biological_Process_2015	activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	1/83	0.1427348427146786	0.2834593355319675	0	0	6.734756097560975	13.110998342458275	CYCS
GO_Biological_Process_2015	regulation of striated muscle cell differentiation (GO:0051153)	1/85	0.145917058558831	0.286869563428924	0	0	6.573743386243386	12.652595062512743	ID3
GO_Biological_Process_2015	myeloid leukocyte activation (GO:0002274)	1/86	0.1475038535361489	0.286869563428924	0	0	6.496078431372549	12.432850862154837	HMGB1
GO_Biological_Process_2015	cell-type specific apoptotic process (GO:0097285)	1/86	0.1475038535361489	0.286869563428924	0	0	6.496078431372549	12.432850862154837	GAPDH
GO_Biological_Process_2015	regulation of peptidase activity (GO:0052547)	2/372	0.1505750658563238	0.2870852276610035	0	0	3.025945945945946	5.7290039199789335	CYCS;HMGB1
GO_Biological_Process_2015	cellular response to interferon-gamma (GO:0071346)	1/88	0.1506688428859167	0.2870852276610035	0	0	6.346104725415071	12.011088021305998	GAPDH
GO_Biological_Process_2015	activation of cysteine-type endopeptidase activity (GO:0097202)	1/88	0.1506688428859167	0.2870852276610035	0	0	6.346104725415071	12.011088021305998	CYCS
GO_Biological_Process_2015	memory (GO:0007613)	1/90	0.1538223982902694	0.2911269551533957	0	0	6.202871410736579	11.611506075891745	MDK
GO_Biological_Process_2015	protein stabilization (GO:0050821)	1/91	0.1553949008269251	0.2921424135546192	0	0	6.133641975308642	11.419526641299596	GAPDH
GO_Biological_Process_2015	positive regulation of binding (GO:0051099)	1/93	0.1585313805776318	0.2960652273039217	0	0	5.99969806763285	11.050260223410378	HMGB1
GO_Biological_Process_2015	odontogenesis (GO:0042476)	1/96	0.1632148618429656	0.3028065199981337	0	0	5.809356725146199	10.53054991851772	ID3
GO_Biological_Process_2015	DNA conformation change (GO:0071103)	1/99	0.1678729762999577	0.3075385021148984	0	0	5.630668934240362	10.048197177896714	HMGB1
GO_Biological_Process_2015	leukocyte chemotaxis (GO:0030595)	1/100	0.1694200671801256	0.3075385021148984	0	0	5.57351290684624	9.895070145641316	HMGB1
GO_Biological_Process_2015	regulation of microtubule cytoskeleton organization (GO:0070507)	1/100	0.1694200671801256	0.3075385021148984	0	0	5.57351290684624	9.895070145641316	RANBP1
GO_Biological_Process_2015	negative regulation of cytoskeleton organization (GO:0051494)	1/101	0.170964359316039	0.3075385021148984	0	0	5.5175	9.745561183866672	PFN1
GO_Biological_Process_2015	zymogen activation (GO:0031638)	1/102	0.1725058575997924	0.3075385021148984	0	0	5.462596259625963	9.599551979063234	CYCS
GO_Biological_Process_2015	positive regulation of mitotic cell cycle (GO:0045931)	1/103	0.1740445669835931	0.3075385021148984	0	0	5.408769063180828	9.456929169416776	RANBP1
GO_Biological_Process_2015	cytoskeleton-dependent intracellular transport (GO:0030705)	1/104	0.1755804923421938	0.3075385021148984	0	0	5.355987055016182	9.31758409670882	TUBA1B
GO_Biological_Process_2015	regulation of actin filament polymerization (GO:0030833)	1/104	0.1755804923421938	0.3075385021148984	0	0	5.355987055016182	9.31758409670882	PFN1
